,Crossdock Default2018
1,0.3532034851335763
2,0.4292168098703053
3,0.4654577911112866
4,0.49071079882630037
5,0.511366596928907
6,0.5277168010982601
7,0.5371782852405953
8,0.546686666929828
9,0.5541415347570363
