,Dense Ensemble_good,Dense Ensemble_left,General Default2018 Ensemble_good,General Default2018 Ensemble_left,Crossdock Default2018 Ensemble_good,Crossdock Default2018 Ensemble_left,Redock Default2018 Ensemble_good,Redock Default2018 Ensemble_left,All Ensemble_good,All Ensemble_left,Default Ensemble_good,Default Ensemble_left
0.0,38.541540020263426,73336,38.37991179708505,73336,37.00909770742597,73336,34.30947665978061,73336,39.470793475352735,73270,41.374230801282486,73336
0.011511511511511512,38.541540020263426,72839,38.37991179708505,68482,37.00909770742597,58772,34.30947665978061,61065,39.470793475352735,73270,41.374230801282486,73180
0.023023023023023025,38.541540020263426,71595,38.37991179708505,61234,37.00909770742597,48361,34.30947665978061,51170,39.470793475352735,73265,41.374230801282486,72696
0.03453453453453453,38.541540020263426,69930,38.37991179708505,55282,37.00909770742597,44233,34.30947665978061,46506,39.470793475352735,73203,41.374230801282486,71973
0.04604604604604605,38.541540020263426,68139,38.37991179708505,51083,37.00909770742597,42553,34.30947665978061,44397,39.470793475352735,73011,41.374230801282486,71114
0.057557557557557565,38.541540020263426,66162,38.37991179708505,48153,37.00909770742597,41841,34.30947665978061,43281,39.470793475352735,72630,41.374230801282486,70012
0.06906906906906907,38.541540020263426,64288,38.37991179708505,46091,37.00909770742597,41504,34.30947665978061,42700,39.470793475352735,71973,41.374230801282486,68796
0.08058058058058058,38.541540020263426,62442,38.37991179708505,44713,37.00909770742597,41324,34.30947665978061,42326,39.470793475352735,71017,41.374230801282486,67565
0.0920920920920921,38.541540020263426,60749,38.37991179708505,43806,37.00909770742597,41214,34.30947665978061,42052,39.470793475352735,69908,41.374230801282486,66324
0.10360360360360361,38.541540020263426,59162,38.37991179708505,43182,37.00909770742597,41100,34.30947665978061,41868,39.470793475352735,68740,41.374230801282486,65124
0.11511511511511513,38.541540020263426,57684,38.37991179708505,42701,37.00909770742597,41037,34.30947665978061,41687,39.470793475352735,67401,41.374230801282486,63870
0.12662662662662663,38.541540020263426,56306,38.37991179708505,42303,37.00909770742597,40987,34.30947665978061,41557,39.470793475352735,66100,41.374230801282486,62707
0.13813813813813813,38.541540020263426,55061,38.37991179708505,42044,37.00909770742597,40933,34.30947665978061,41430,39.470793475352735,64772,41.374230801282486,61566
0.14964964964964966,38.541540020263426,53954,38.37991179708505,41850,37.00909770742597,40896,34.30947665978061,41343,39.470793475352735,63385,41.374230801282486,60501
0.16116116116116116,38.541540020263426,52916,38.37991179708505,41701,37.00909770742597,40867,34.30947665978061,41264,39.470793475352735,61996,41.374230801282486,59462
0.1726726726726727,38.541540020263426,52025,38.37991179708505,41582,37.00909770742597,40844,34.30947665978061,41191,39.470793475352735,60632,41.374230801282486,58498
0.1841841841841842,38.541540020263426,51185,38.37991179708505,41487,37.00909770742597,40830,34.30947665978061,41133,39.470793475352735,59388,41.374230801282486,57533
0.1956956956956957,38.541540020263426,50380,38.37991179708505,41409,37.00909770742597,40813,34.30947665978061,41089,39.470793475352735,58227,41.374230801282486,56718
0.20720720720720723,38.541540020263426,49639,38.37991179708505,41341,37.00909770742597,40803,34.30947665978061,41039,39.470793475352735,57116,41.374230801282486,55931
0.21871871871871873,38.541540020263426,48992,38.37991179708505,41277,37.00909770742597,40797,34.30947665978061,40998,39.470793475352735,56070,41.374230801282486,55129
0.23023023023023026,38.541540020263426,48405,38.37991179708505,41242,37.00909770742597,40792,34.30947665978061,40967,39.470793475352735,55079,41.374230801282486,54397
0.24174174174174176,38.541540020263426,47834,38.37991179708505,41213,37.00909770742597,40785,34.30947665978061,40941,39.470793475352735,54141,41.374230801282486,53705
0.25325325325325326,38.541540020263426,47288,38.37991179708505,41181,37.00909770742597,40777,34.30947665978061,40914,39.470793475352735,53314,41.374230801282486,53050
0.2647647647647648,38.541540020263426,46839,38.37991179708505,41165,37.00909770742597,40775,34.30947665978061,40895,39.470793475352735,52513,41.374230801282486,52427
0.27627627627627627,38.541540020263426,46450,38.37991179708505,41146,37.00909770742597,40772,34.30947665978061,40870,39.470793475352735,51755,41.374230801282486,51852
0.2877877877877878,38.541540020263426,46090,38.37991179708505,41129,37.00909770742597,40769,34.30947665978061,40853,39.470793475352735,51047,41.374230801282486,51347
0.2992992992992993,38.541540020263426,45737,38.37991179708505,41109,37.00909770742597,40764,34.30947665978061,40837,39.470793475352735,50437,41.374230801282486,50875
0.31081081081081086,38.541540020263426,45399,38.37991179708505,41087,37.00909770742597,40762,34.30947665978061,40827,39.470793475352735,49861,41.374230801282486,50441
0.32232232232232233,38.541540020263426,45109,38.37991179708505,41072,37.00909770742597,40761,34.30947665978061,40817,39.470793475352735,49294,41.374230801282486,50019
0.33383383383383386,38.541540020263426,44843,38.37991179708505,41047,37.00909770742597,40754,34.30947665978061,40805,39.470793475352735,48794,41.374230801282486,49596
0.3453453453453454,38.541540020263426,44554,38.37991179708505,41037,37.00909770742597,40752,34.30947665978061,40799,39.470793475352735,48312,41.374230801282486,49235
0.35685685685685686,38.541540020263426,44316,38.37991179708505,41025,37.00909770742597,40752,34.30947665978061,40786,39.470793475352735,47864,41.374230801282486,48872
0.3683683683683684,38.541540020263426,44099,38.37991179708505,41013,37.00909770742597,40750,34.30947665978061,40781,39.470793475352735,47471,41.374230801282486,48508
0.3798798798798799,38.541540020263426,43893,38.37991179708505,40997,37.00909770742597,40746,34.30947665978061,40778,39.470793475352735,47080,41.374230801282486,48169
0.3913913913913914,38.541540020263426,43702,38.37991179708505,40988,37.00909770742597,40746,34.30947665978061,40772,39.470793475352735,46769,41.374230801282486,47860
