,Default Ensemble Refine
1,0.4002939402711439
2,0.4738639762803897
3,0.5111744672079018
4,0.5315519502449594
5,0.5485683912507622
6,0.5600998368399583
7,0.5674439466308767
8,0.5736345763321447
9,0.578480297986377
