,Default Ensemble
1,0.41374230801282486
2,0.4906343504519797
3,0.5264606990442856
4,0.5432055246340961
5,0.5580620687991509
6,0.5672876068544762
7,0.572622337136015
8,0.5779982850651544
9,0.5821889981008521
