,Crossdock Default2018 Good,Crossdock Default2018 Left,Default2017 Good,Default2017 Left,Crossdock Dense Good,Crossdock Dense Left,General Default2018 Good,General Default2018 Left,Redock Default2018 Good,Redock Default2018 Left
2.0,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.008008008008008,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.016016016016016,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.0240240240240244,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.032032032032032,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.04004004004004,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.048048048048048,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.056056056056056,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.064064064064064,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.072072072072072,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.08008008008008,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.088088088088088,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.096096096096096,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.104104104104104,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.112112112112112,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.12012012012012,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.128128128128128,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.136136136136136,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.144144144144144,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.1521521521521523,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.1601601601601597,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.168168168168168,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.176176176176176,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.184184184184184,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.1921921921921923,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2002002002002,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2082082082082084,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.216216216216216,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.224224224224224,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2322322322322323,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.24024024024024,64.48356807511738,100.0,50.716466995536756,99.92957746478874,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2482482482482484,64.48356807511738,100.0,50.70488721804512,99.90610328638498,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2562562562562563,64.48356807511738,100.0,50.70488721804512,99.90610328638498,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.264264264264264,64.48356807511738,100.0,50.71680376028202,99.88262910798124,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2722722722722724,64.48356807511738,100.0,50.71680376028202,99.88262910798124,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2802802802802797,64.48356807511738,100.0,50.72872590503057,99.85915492957749,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
2.2882882882882885,64.48356807511738,100.0,50.72906867356538,99.81220657276995,65.28169014084507,100.0,65.65727699530518,100.0,69.01408450704226,100.0
