,CD_good,CD_left,Def2017_good,Def2017_left,Dense_good,Dense_left,Gen_good,Gen_left,RD_good,RD_left
0.0,64.48356807511738,100.0,50.68075117370891,100.0,65.28169014084507,100.0,65.65727699530517,100.0,69.01408450704226,100.0
0.01,64.48356807511738,100.0,50.68075117370891,100.0,65.28169014084507,100.0,65.65727699530517,100.0,69.01408450704226,100.0
0.02,64.48356807511738,100.0,50.68075117370891,100.0,65.28169014084507,100.0,65.67269312045082,99.97652582159624,69.01408450704226,100.0
0.03,64.48356807511738,100.0,50.68075117370891,100.0,65.28169014084507,100.0,65.67269312045082,99.97652582159624,69.01408450704226,100.0
0.04,64.48356807511738,100.0,50.692650857008694,99.97652582159624,65.28169014084507,100.0,65.68811648661344,99.9530516431925,69.01408450704226,100.0
0.05,64.48356807511738,100.0,50.68107092531705,99.9530516431925,65.28169014084507,100.0,65.6800563777308,99.92957746478874,69.01408450704226,100.0
0.06,64.48356807511738,100.0,50.704887218045116,99.90610328638498,65.28169014084507,100.0,65.6800563777308,99.92957746478874,69.01408450704226,100.0
0.07,64.48356807511738,100.0,50.704887218045116,99.90610328638498,65.28169014084507,100.0,65.69548872180451,99.90610328638498,69.01408450704226,100.0
0.08,64.48356807511738,100.0,50.75258701787394,99.81220657276995,65.29701807936135,99.97652582159624,65.69548872180451,99.90610328638498,69.01408450704226,100.0
0.09,64.48356807511738,100.0,50.764525993883794,99.78873239436619,65.29701807936135,99.97652582159624,65.69548872180451,99.90610328638498,69.01408450704226,100.0
0.1,64.48356807511738,100.0,50.764525993883794,99.78873239436619,65.29701807936135,99.97652582159624,65.71092831962397,99.88262910798123,69.03028880018783,99.97652582159624
0.11,64.48356807511738,100.0,50.77647058823529,99.76525821596243,65.312353217473,99.9530516431925,65.71092831962397,99.88262910798123,69.04650070455612,99.9530516431925
0.12,64.48356807511738,100.0,50.80037664783428,99.71830985915493,65.312353217473,99.9530516431925,65.71092831962397,99.88262910798123,69.04650070455612,99.9530516431925
0.13,64.48356807511738,100.0,50.83627797408716,99.64788732394366,65.312353217473,99.9530516431925,65.72637517630466,99.85915492957747,69.06272022551092,99.92957746478874
0.14,64.48356807511738,100.0,50.83627797408716,99.64788732394366,65.312353217473,99.9530516431925,65.72637517630466,99.85915492957747,69.07894736842105,99.90610328638498
0.15,64.48356807511738,100.0,50.86024039594626,99.60093896713616,65.312353217473,99.9530516431925,65.72637517630466,99.85915492957747,69.07894736842105,99.90610328638498
0.16,64.48356807511738,100.0,50.86024039594626,99.60093896713616,65.312353217473,99.9530516431925,65.72637517630466,99.85915492957747,69.0951821386604,99.88262910798123
0.17,64.49870861704625,99.97652582159624,50.84905660377359,99.53051643192488,65.312353217473,99.9530516431925,65.73377234242709,99.81220657276995,69.0951821386604,99.88262910798123
0.18,64.51385627054955,99.9530516431925,50.87387812942844,99.38967136150235,65.312353217473,99.9530516431925,65.76470588235294,99.76525821596243,69.12767458264754,99.83568075117371
0.19,64.51385627054955,99.9530516431925,50.92198581560283,99.29577464788733,65.312353217473,99.9530516431925,65.79566854990584,99.71830985915493,69.1131498470948,99.78873239436619
0.2,64.51385627054955,99.9530516431925,50.934026956727365,99.27230046948357,65.312353217473,99.9530516431925,65.81116081940192,99.69483568075117,69.14568133678513,99.74178403755869
0.21,64.51385627054955,99.9530516431925,50.97018457169901,99.2018779342723,65.312353217473,99.9530516431925,65.84216725559482,99.64788732394366,69.14568133678513,99.74178403755869
0.22,64.51385627054955,99.9530516431925,51.00687040985549,99.08450704225352,65.312353217473,99.9530516431925,65.8496346924346,99.60093896713616,69.17824346597598,99.69483568075117
0.23,64.51385627054955,99.9530516431925,51.0673624288425,98.96713615023475,65.312353217473,99.9530516431925,65.86515794436586,99.5774647887324,69.17824346597598,99.69483568075117
0.24,64.51385627054955,99.9530516431925,51.091599430469856,98.92018779342723,65.3276955602537,99.92957746478874,65.88068851685924,99.55399061032864,69.19453603391426,99.67136150234742
0.25,64.51385627054955,99.9530516431925,51.11585944919278,98.87323943661971,65.34304511278195,99.90610328638498,65.89622641509433,99.53051643192488,69.21083627797408,99.64788732394366
0.26,64.51385627054955,99.9530516431925,51.14068441064639,98.77934272300469,65.34304511278195,99.90610328638498,65.89622641509433,99.53051643192488,69.22714420358153,99.6244131455399
0.27,64.51385627054955,99.9530516431925,51.165002377555865,98.73239436619718,65.34304511278195,99.90610328638498,65.88818117480538,99.50704225352112,69.22714420358153,99.6244131455399
0.28,64.54417293233082,99.90610328638498,51.177170035671814,98.70892018779342,65.35840188014102,99.88262910798123,65.89568090630162,99.46009389671362,69.25253477953312,99.55399061032864
0.29,64.54417293233082,99.90610328638498,51.18934348239772,98.68544600938968,65.35840188014102,99.88262910798123,65.97304327264129,99.27230046948357,69.2688679245283,99.53051643192488
0.3,64.54417293233082,99.90610328638498,51.226482495832336,98.5680751173709,65.35840188014102,99.88262910798123,66.00425833924768,99.22535211267606,69.30155733836716,99.48356807511736
0.31,64.54417293233082,99.90610328638498,51.27532777115614,98.47417840375586,65.3737658674189,99.85915492957747,66.03550295857988,99.17840375586854,69.35979210961493,99.36619718309859
0.32,64.54417293233082,99.90610328638498,51.3126491646778,98.35680751173709,65.40451552210725,99.81220657276995,66.03550295857988,99.17840375586854,69.42539607472216,99.27230046948357
0.33,64.56618857277216,99.83568075117371,51.362332695984705,98.21596244131456,65.43529411764706,99.76525821596243,66.05113636363636,99.15492957746478,69.42539607472216,99.27230046948357
0.34,64.58137347130763,99.81220657276995,51.39918679741689,98.14553990610328,65.45069428100729,99.74178403755869,66.12941455321166,99.03755868544602,69.45824461793234,99.22535211267606
0.35000000000000003,64.62697105201224,99.74178403755869,51.42446732104381,98.05164319248826,65.45069428100729,99.74178403755869,66.17612152860195,98.89671361502349,69.45824461793234,99.22535211267606
0.36,64.6421845574388,99.71830985915493,51.475173902614536,97.86384976525821,65.45069428100729,99.74178403755869,66.17577197149643,98.82629107981221,69.50757575757575,99.15492957746478
0.37,64.67263306641546,99.67136150234742,51.48823811809889,97.79342723004694,65.48151636449259,99.69483568075117,66.20722433460075,98.77934272300469,69.51681667456182,99.10798122065728
0.38,64.73361621876474,99.5774647887324,51.50132116262311,97.72300469483568,65.48151636449259,99.69483568075117,66.28598620033308,98.66197183098592,69.5260663507109,99.06103286384976
0.39,64.74887998113653,99.55399061032864,51.588065447545716,97.55868544600939,65.48151636449259,99.69483568075117,66.3175434420376,98.61502347417841,69.54254562692581,99.03755868544602
0.4,64.76415094339623,99.53051643192488,51.63934426229508,97.37089201877934,65.49693829486576,99.67136150234742,66.309268525137,98.52112676056338,69.60854092526691,98.94366197183099
0.41000000000000003,64.76415094339623,99.53051643192488,51.640926640926644,97.27699530516432,65.51236749116607,99.64788732394366,66.35670004768717,98.45070422535211,69.65811965811966,98.87323943661971
0.42,64.7794291106393,99.50704225352112,51.63004105288578,97.20657276995304,65.54324770209757,99.60093896713616,66.39598758060664,98.28638497652582,69.69121140142518,98.82629107981221
0.43,64.79471448796602,99.48356807511736,51.65498912780865,97.15962441314554,65.54324770209757,99.60093896713616,66.47537063605931,98.16901408450704,69.77407847800238,98.70892018779342
0.44,64.84061393152302,99.4131455399061,51.71746492501209,97.04225352112677,65.55869872701557,99.5774647887324,66.54693486590038,98.02816901408451,69.89042401143402,98.54460093896714
0.45,64.83230987246102,99.38967136150235,51.74418604651163,96.90140845070422,65.57415703843434,99.55399061032864,66.60273315751618,97.91079812206573,69.96660305343512,98.4037558685446
0.46,64.86294896030246,99.34272300469483,51.7835476826013,96.73708920187794,65.58962264150944,99.53051643192488,66.63468457663708,97.86384976525821,70.050155242417,98.28638497652582
0.47000000000000003,64.90896192953417,99.27230046948357,51.84645286686103,96.61971830985917,65.60509554140127,99.50704225352112,66.68268075906798,97.72300469483568,70.10038240917783,98.21596244131456
0.48,64.98579545454545,99.15492957746478,51.91044049647117,96.45539906103286,65.60509554140127,99.50704225352112,66.7548713014193,97.58215962441315,70.12676393207367,98.14553990610328
0.49,64.98460080549633,99.08450704225352,52.01170446232626,96.26760563380282,65.63606325230116,99.46009389671362,66.79518072289157,97.41784037558685,70.16283524904215,98.02816901408451
0.5,64.98460080549633,99.08450704225352,51.978505129457744,96.10328638497653,65.6515580736544,99.43661971830986,66.8918918918919,97.27699530516432,70.24952015355086,97.84037558685445
0.51,65.06166982922201,98.96713615023475,52.004889975550114,96.0093896713615,65.68256967406707,99.38967136150235,66.99709864603481,97.08920187793427,70.30273906775588,97.69953051643192
0.52,65.12345679012346,98.87323943661971,52.03132648066568,95.91549295774648,65.68256967406707,99.38967136150235,67.1030303030303,96.83098591549296,70.33918691363964,97.58215962441315
0.53,65.13892187128948,98.84976525821597,52.14829364105083,95.61032863849765,65.69808646350106,99.36619718309859,67.16852841185042,96.66666666666667,70.45344910757356,97.32394366197184
0.54,65.19258202567761,98.73239436619718,52.128968742308636,95.3755868544601,65.71361058601134,99.34272300469483,67.31612274719923,96.3849765258216,70.54132431126148,97.13615023474178
