,Crossdock Default2018 Ensemble Good,Crossdock Default2018 Ensemble Left,Default Ensemble Good,Default Ensemble Left,Crossdock Dense Ensemble Good,Crossdock Dense Ensemble Left,All Ensemble Good,All Ensemble Left,General Default2018 Ensemble Good,General Default2018 Ensemble Left,Redock Default2018 Ensemble Good,Redock Default2018 Ensemble Left
2.0,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.008008008008008,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.016016016016016,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.0240240240240244,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.032032032032032,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.04004004004004,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.048048048048048,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.056056056056056,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.064064064064064,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.072072072072072,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.08008008008008,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.088088088088088,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.096096096096096,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.104104104104104,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.112112112112112,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.12012012012012,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.128128128128128,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.136136136136136,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
2.144144144144144,66.17370892018779,100.0,72.62910798122066,100.0,68.82629107981221,100.0,72.48826291079811,100.0,66.40845070422536,100.0,70.04694835680753,100.0
